,History,Stock,% ofPortfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,CurrentPrice,+/-ReportedPrice,52WeekLow,52WeekHigh,PortfolioName,PortfolioDate,URL
15,≡,MMM - 3M Co.,1.97,,46230,$177.63,"$8,212,000",,$148.90,-16.17%,$139.74,$202.24,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
16,≡,SAFRY - Safran SA,1.95,,66120,$122.43,"$8,095,000",,$29.30,-76.07%,$25.15,$38.35,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
17,≡,FSNUF - Fresenius SE & Co KGaA,1.89,,195680,$40.25,"$7,877,000",,$37.10,-7.83%,$33.88,$52.94,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
18,≡,NWLI - National Western Life Group Inc.,1.88,,36548,$214.43,"$7,837,000",,$211.11,-1.55%,$197.30,$259.58,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
19,≡,GSK - GlaxoSmithKline PLC,1.8,,343309,$21.76,"$7,471,000",,$44.57,104.83%,$33.99,$46.18,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
20,≡,SZCRF - SCOR SE,1.77,,235186,$31.21,"$7,339,000",,$33.85,8.46%,$27.57,$33.85,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
21,≡,TBABF - Trelleborg AB,1.72,,271905,$26.27,"$7,142,000",,$23.57,-10.28%,$22.75,$27.50,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
22,≡,CMCSA - Comcast Corp.,1.7,,140841,$50.33,"$7,089,000",,$47.88,-4.87%,$44.27,$61.22,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
23,≡,HENKY - Henkel KGAA,1.59,,84400,$78.13,"$6,594,000",,$16.58,-78.78%,$16.25,$26.04,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
24,≡,BFFAF - BASF SE,1.57,Add 30.68%,92687,$70.26,"$6,512,000",,$57.00,-18.87%,$52.20,$86.29,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
25,≡,VRTX - Vertex Pharmaceuticals,1.26,Buy,23825,$219.60,"$5,232,000",,$269.96,22.93%,$176.36,$269.30,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
26,≡,CSCO - Cisco Systems,1.21,,79420,$63.37,"$5,033,000",,$54.94,-13.30%,$49.13,$63.91,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
27,≡,FMC - FMC Corp.,1.21,,45731,$109.88,"$5,025,000",,$133.70,21.68%,$86.05,$136.41,"Tweedy Browne Co. - Tweedy Browne Value Fund
i
Website
Investment Philosophy  The investment management principles practiced by Tweedy, Browne derive from the work of the late Benjamin Graham, professor of investments at Columbia Business School and author of Security Analysis and The Intelligent Investor. Tweedy, Browne’s research seeks to appraise the worth of a company, what Graham called “intrinsic value,” by determining its acquisition value, or by estimating the collateral value of its assets and/or cash flow. The term “intrinsic value” may also be referred to as private market value, breakup value or liquidation value. The process is more closely related to credit analysis, for as we have said, we are as concerned with the return of our capital as we are with the return on our capital. Investments are made at a significant discount to intrinsic value, which Graham called an investor’s “margin of safety.” Investments are generally sold as the market price approaches intrinsic value, with the proceeds reinvested in other situations offering a greater discount to intrinsic value. Adhering to the principles of intrinsic value and margin of safety results in an investment policy that runs counter to the general market psychology, and seeks to reduce the decision to purchase or sell securities to a discipline rather than an art.  In determining intrinsic value, our research focuses on fundamental principles of balance sheet and income statement analysis, and a knowledge and understanding of actual corporate mergers, acquisitions, and liquidations. From more than 20,000 publicly traded corporations worldwide, we research and select for investment, those issues selling at substantial discounts to our estimate of intrinsic value. To minimize errors in analysis or events which could adversely affect intrinsic values, we adhere to a policy of broad diversification within individual portfolios, with no one issue generally accounting for more than 3% to 5% at cost of portfolio assets, and no one industry group generally accounting for more than 15% to 20% of portfolio value. Portfolios are not constrained by market capitalization considerations with the result that a significant portion of portfolio assets may be invested in smaller (generally under $1 billion) and medium (up to $5 billion) capitalization companies.  Most investments in Tweedy, Browne portfolios have one or more of the following investment characteristics: low stock price in relation to book value, low price-to-earnings ratio, low price-to-cash-flow ratio, above-average dividend yield, low price-to-sales ratio as compared to other companies in the same industry, low corporate leverage, low share price, purchases of a company’s own stock by the company’s officers and directors, company share repurchases, a stock price that has declined significantly from its previous high price and/or small market capitalization. Academic research and studies have indicated a historical statistical correlation between each of these investment characteristics and above-average investment rates of return over long measurement periods.",31 Dec 2021,https://www.dataroma.com/m/holdings.php?m=TWEBX
